행정동,동물병원,애견카페,공원,총합
녹산동,6,0,89,95
정관읍,5,3,67,75
삼락동,0,0,74,74
기장읍,6,0,64,70
부전1동,1,0,54,55
민락동,5,4,36,45
다대1동,4,1,36,41
대저1동,0,0,41,41
연지동,5,0,36,41
화명3동,5,1,33,39
하단2동,1,1,35,37
명지1동,7,3,26,36
대연4동,0,0,33,33
좌2동,17,2,12,31
우1동,6,0,20,26
일광읍,4,2,20,26
명지2동,4,0,21,25
대저2동,0,0,24,24
선두구동,0,0,24,24
양정1동,14,1,9,24
대연3동,5,1,17,23
덕천2동,3,0,20,23
가야2동,3,0,19,22
다대2동,3,3,16,22
부암1동,2,0,20,22
금곡동,4,0,17,21
우2동,6,0,15,21
수영동,3,0,17,20
온천1동,5,0,15,20
초읍동,5,0,15,20
서대신4동,0,0,19,19
암남동,1,1,17,19
용호3동,1,1,17,19
중1동,11,0,8,19
용호4동,0,0,18,18
장안읍,1,3,14,18
전포1동,3,2,13,18
반여1동,5,0,12,17
광복동,0,1,15,16
연산9동,6,0,10,16
전포2동,4,2,10,16
철마면,0,0,16,16
감전동,0,1,14,15
덕천1동,2,1,12,15
동삼1동,2,0,13,15
온천2동,7,0,8,15
하단1동,3,0,12,15
남산동,4,0,10,14
만덕2동,1,0,13,14
반송1동,1,0,13,14
수민동,4,0,10,14
연산1동,5,0,9,14
우3동,11,0,3,14
좌4동,1,0,13,14
구서1동,11,0,2,13
금사회동동,0,0,13,13
당리동,3,1,9,13
모라1동,4,0,9,13
연산2동,6,0,7,13
연산5동,5,0,8,13
화명2동,3,0,10,13
대청동,0,0,12,12
만덕1동,0,1,11,12
명륜동,5,0,7,12
영주2동,0,0,12,12
좌1동,5,2,5,12
좌3동,0,0,12,12
화명1동,5,0,7,12
가야1동,2,0,9,11
망미1동,6,0,5,11
범일1동,1,0,10,11
송정동,4,0,7,11
신평2동,2,0,9,11
장전2동,10,0,1,11
재송2동,1,0,10,11
개금3동,1,0,9,10
괘법동,2,2,6,10
부곡3동,6,0,4,10
엄궁동,3,0,7,10
용호1동,6,1,3,10
장전1동,3,0,7,10
중2동,3,1,6,10
거제1동,3,0,6,9
광안2동,5,1,3,9
남천1동,7,1,1,9
부전2동,3,3,3,9
수정2동,1,0,8,9
안락2동,3,1,5,9
온천3동,6,0,3,9
용호2동,2,0,7,9
감천1동,1,0,7,8
남포동,5,2,1,8
동삼2동,0,0,8,8
반여3동,0,0,8,8
주례1동,1,0,7,8
당감4동,3,0,4,7
동대신2동,1,0,6,7
만덕3동,3,0,4,7
부암3동,2,0,5,7
사직1동,3,0,4,7
재송1동,4,1,2,7
청학2동,1,0,6,7
구서2동,2,0,4,6
구포2동,3,0,3,6
구포3동,0,0,6,6
덕포2동,0,0,6,6
반송2동,2,0,4,6
사직2동,4,0,2,6
사직3동,1,0,5,6
거제2동,3,0,2,5
괴정3동,4,0,1,5
구포1동,1,2,2,5
동삼3동,0,0,5,5
명장1동,1,0,4,5
명장2동,1,0,4,5
모라3동,0,0,5,5
문현2동,3,0,2,5
문현3동,3,0,2,5
부곡2동,2,1,2,5
안락1동,3,0,2,5
양정2동,1,0,4,5
연산4동,2,1,2,5
연산6동,3,0,2,5
연산8동,0,0,5,5
장림2동,4,0,1,5
주례2동,2,0,3,5
중앙동,1,0,4,5
청룡노포동,0,2,3,5
학장동,1,0,4,5
가락동,0,2,2,4
개금1동,3,0,1,4
광안1동,3,0,1,4
광안4동,2,0,2,4
괴정1동,1,0,3,4
구평동,0,0,4,4
남항동,2,0,2,4
대연1동,1,0,3,4
대연5동,2,0,2,4
망미2동,0,1,3,4
문현4동,2,0,2,4
반여2동,1,0,3,4
반여4동,1,0,3,4
서3동,1,0,3,4
신평1동,1,0,3,4
충무동,4,0,0,4
가덕도동,0,1,2,3
감만1동,0,0,3,3
거제3동,2,1,0,3
금성동,0,0,3,3
대연6동,1,0,2,3
덕천3동,0,0,3,3
동광동,0,0,3,3
보수동,0,0,3,3
부곡4동,1,0,2,3
장림1동,1,0,2,3
초량2동,2,0,1,3
초량3동,1,0,2,3
강동동,0,2,0,2
광안3동,0,1,1,2
괴정4동,1,0,1,2
당감1동,0,1,1,2
덕포1동,1,0,1,2
범천2동,1,0,1,2
복산동,1,0,1,2
부곡1동,1,0,1,2
서2동,2,0,0,2
수정4동,0,0,2,2
용당동,0,0,2,2
청학1동,1,0,1,2
초량1동,0,0,2,2
감만2동,1,0,0,1
개금2동,0,0,1,1
거제4동,0,0,1,1
괴정2동,0,0,1,1
남부민2동,0,0,1,1
남천2동,0,0,1,1
동대신3동,0,0,1,1
문현1동,0,0,1,1
범일2동,0,0,1,1
범일5동,0,0,1,1
봉래1동,1,0,0,1
부평동,0,1,0,1
서대신1동,1,0,0,1
서대신3동,1,0,0,1
수정1동,0,0,1,1
수정5동,1,0,0,1
영선1동,1,0,0,1
영주1동,0,0,1,1
우암동,0,0,1,1
좌천동,0,0,1,1
주례3동,1,0,0,1
초량6동,0,0,1,1
감천2동,0,0,0,0
남부민1동,0,0,0,0
당감2동,0,0,0,0
동대신1동,0,0,0,0
범천1동,0,0,0,0
봉래2동,0,0,0,0
부민동,0,0,0,0
서1동,0,0,0,0
신선동,0,0,0,0
아미동,0,0,0,0
연산3동,0,0,0,0
영선2동,0,0,0,0
초장동,0,0,0,0
