행정동,동물병원,애견카페,공원,총합
부산,0,0,879,879
경남,0,0,350,350
경계 외,0,31,0,31
좌2동,17,2,0,19
양정1동,14,1,0,15
중1동,11,0,0,11
우3동,11,0,0,11
구서1동,11,0,0,11
장전2동,10,0,0,10
명지1동,7,3,0,10
민락동,5,4,0,9
남천1동,7,1,0,8
정관읍,5,3,0,8
용호1동,6,1,0,7
남포동,5,2,0,7
온천2동,7,0,0,7
좌1동,5,2,0,7
온천3동,6,0,0,6
연산9동,6,0,0,6
부곡3동,6,0,0,6
다대2동,3,3,0,6
부전2동,3,3,0,6
화명3동,5,1,0,6
우1동,6,0,0,6
연산2동,6,0,0,6
전포2동,4,2,0,6
녹산동,6,0,0,6
기장읍,6,0,0,6
광안2동,5,1,0,6
일광읍,4,2,0,6
우2동,6,0,0,6
대연3동,5,1,0,6
망미1동,6,0,0,6
초읍동,5,0,0,5
재송1동,4,1,0,5
연산5동,5,0,0,5
화명1동,5,0,0,5
전포1동,3,2,0,5
연지동,5,0,0,5
온천1동,5,0,0,5
반여1동,5,0,0,5
연산1동,5,0,0,5
다대1동,4,1,0,5
명륜동,5,0,0,5
괘법동,2,2,0,4
충무동,4,0,0,4
남산동,4,0,0,4
중2동,3,1,0,4
장림2동,4,0,0,4
장안읍,1,3,0,4
금곡동,4,0,0,4
수민동,4,0,0,4
명지2동,4,0,0,4
모라1동,4,0,0,4
안락2동,3,1,0,4
괴정3동,4,0,0,4
송정동,4,0,0,4
사직2동,4,0,0,4
당리동,3,1,0,4
구포1동,1,2,0,3
장전1동,3,0,0,3
문현3동,3,0,0,3
광안1동,3,0,0,3
구포2동,3,0,0,3
문현2동,3,0,0,3
덕천2동,3,0,0,3
거제2동,3,0,0,3
당감4동,3,0,0,3
연산6동,3,0,0,3
엄궁동,3,0,0,3
부곡2동,2,1,0,3
만덕3동,3,0,0,3
가야2동,3,0,0,3
사직1동,3,0,0,3
수영동,3,0,0,3
연산4동,2,1,0,3
안락1동,3,0,0,3
하단1동,3,0,0,3
화명2동,3,0,0,3
덕천1동,2,1,0,3
거제1동,3,0,0,3
개금1동,3,0,0,3
거제3동,2,1,0,3
동삼1동,2,0,0,2
남항동,2,0,0,2
부암3동,2,0,0,2
초량2동,2,0,0,2
용호3동,1,1,0,2
서2동,2,0,0,2
문현4동,2,0,0,2
부암1동,2,0,0,2
하단2동,1,1,0,2
신평2동,2,0,0,2
가락동,0,2,0,2
광안4동,2,0,0,2
청룡노포동,0,2,0,2
가야1동,2,0,0,2
대연5동,2,0,0,2
강동동,0,2,0,2
구서2동,2,0,0,2
용호2동,2,0,0,2
반송2동,2,0,0,2
암남동,1,1,0,2
주례2동,2,0,0,2
망미2동,0,1,0,1
만덕1동,0,1,0,1
광안3동,0,1,0,1
신평1동,1,0,0,1
명장2동,1,0,0,1
광복동,0,1,0,1
감전동,0,1,0,1
당감1동,0,1,0,1
부평동,0,1,0,1
봉래1동,1,0,0,1
중앙동,1,0,0,1
대연6동,1,0,0,1
양정2동,1,0,0,1
만덕2동,1,0,0,1
초량3동,1,0,0,1
개금3동,1,0,0,1
청학1동,1,0,0,1
가덕도동,0,1,0,1
주례1동,1,0,0,1
동대신2동,1,0,0,1
수정5동,1,0,0,1
괴정1동,1,0,0,1
부곡4동,1,0,0,1
사직3동,1,0,0,1
서대신1동,1,0,0,1
명장1동,1,0,0,1
서3동,1,0,0,1
장림1동,1,0,0,1
학장동,1,0,0,1
복산동,1,0,0,1
좌4동,1,0,0,1
감천1동,1,0,0,1
청학2동,1,0,0,1
반여4동,1,0,0,1
부전1동,1,0,0,1
부곡1동,1,0,0,1
범일1동,1,0,0,1
대연1동,1,0,0,1
괴정4동,1,0,0,1
반송1동,1,0,0,1
범천2동,1,0,0,1
영선1동,1,0,0,1
서대신3동,1,0,0,1
반여2동,1,0,0,1
주례3동,1,0,0,1
감만2동,1,0,0,1
덕포1동,1,0,0,1
재송2동,1,0,0,1
수정2동,1,0,0,1
