district,hospital,cafe,park
좌2동,17,2,7
양정1동,14,1,1
구서1동,11,0,2
중1동,11,0,6
우3동,11,0,3
장전2동,10,0,1
명지1동,7,3,18
민락동,5,4,6
정관읍,5,3,31
남천1동,7,1,1
좌1동,5,2,2
남포동,5,2,0
용호1동,6,1,3
온천2동,7,0,7
우1동,6,0,10
온천3동,6,0,2
망미1동,6,0,4
일광읍,4,2,14
대연3동,5,1,7
전포2동,4,2,1
연산9동,6,0,8
다대2동,3,3,11
부곡3동,6,0,3
연산2동,6,0,7
녹산동,6,0,44
부전2동,3,3,1
우2동,6,0,8
화명3동,5,1,11
기장읍,6,0,46
광안2동,5,1,1
온천1동,5,0,4
연지동,5,0,14
초읍동,5,0,5
재송1동,4,1,2
전포1동,3,2,6
반여1동,5,0,10
명륜동,5,0,1
연산5동,5,0,6
화명1동,5,0,6
다대1동,4,1,20
연산1동,5,0,5
충무동,4,0,0
사직2동,4,0,2
안락2동,3,1,3
모라1동,4,0,7
명지2동,4,0,14
남산동,4,0,6
송정동,4,0,6
장림2동,4,0,1
당리동,3,1,6
장안읍,1,3,11
괘법동,2,2,2
금곡동,4,0,15
괴정3동,4,0,1
중2동,3,1,4
수민동,4,0,5
당감4동,3,0,4
구포1동,1,2,2
부곡2동,2,1,2
연산4동,2,1,2
화명2동,3,0,10
엄궁동,3,0,7
가야2동,3,0,2
하단1동,3,0,5
사직1동,3,0,4
구포2동,3,0,3
안락1동,3,0,0
수영동,3,0,9
연산6동,3,0,2
문현2동,3,0,2
만덕3동,3,0,3
문현3동,3,0,2
광안1동,3,0,0
거제3동,2,1,0
거제2동,3,0,1
장전1동,3,0,5
개금1동,3,0,1
덕천2동,3,0,5
거제1동,3,0,4
덕천1동,2,1,8
용호3동,1,1,4
주례2동,2,0,3
용호2동,2,0,3
암남동,1,1,10
하단2동,1,1,20
초량2동,2,0,1
신평2동,2,0,4
청룡노포동,0,2,3
부암1동,2,0,0
남항동,2,0,2
강동동,0,2,0
반송2동,2,0,4
문현4동,2,0,2
가락동,0,2,2
부암3동,2,0,5
구서2동,2,0,4
광안4동,2,0,2
서2동,2,0,0
대연5동,2,0,2
동삼1동,2,0,11
가야1동,2,0,3
당감1동,0,1,1
주례3동,1,0,0
대연1동,1,0,1
좌4동,1,0,3
주례1동,1,0,5
괴정4동,1,0,1
서대신3동,1,0,0
광안3동,0,1,1
괴정1동,1,0,3
중앙동,1,0,3
대연6동,1,0,2
청학1동,1,0,1
청학2동,1,0,3
광복동,0,1,9
초량3동,1,0,1
개금3동,1,0,6
감천1동,1,0,6
감전동,0,1,5
학장동,1,0,3
감만2동,1,0,0
재송2동,1,0,5
만덕1동,0,1,8
덕포1동,1,0,1
복산동,1,0,0
수정5동,1,0,0
신평1동,1,0,3
서대신1동,1,0,0
서3동,1,0,3
사직3동,1,0,5
부평동,0,1,0
양정2동,1,0,2
부전1동,1,0,17
부곡4동,1,0,2
부곡1동,1,0,1
봉래1동,1,0,0
범천2동,1,0,1
동대신2동,1,0,1
영선1동,1,0,0
범일1동,1,0,3
반여4동,1,0,1
반여2동,1,0,2
반송1동,1,0,8
명장2동,1,0,4
명장1동,1,0,4
망미2동,0,1,3
만덕2동,1,0,10
장림1동,1,0,2
수정2동,1,0,3
가덕도동,0,1,2
